from,status,note
https://nmgtechnologies.com/company/about-us/,3xx,redirect
https://nmgtechnologies.com/compound-banc,3xx,redirect
https://nmgtechnologies.com/services/mobile-application-development/,3xx,redirect
https://nmgtechnologies.com/services/mobile-application-development/android-app-development/,3xx,redirect
https://nmgtechnologies.com/services/user-interface-design/mobile-versions/,3xx,redirect
https://nmgtechnologies.com/solution/blockchain/,3xx,redirect
https://nmgtechnologies.com/work/design/,3xx,redirect
